SEid;SECompanyName;SEticker;SEHeadline;MergeComnam;
3664626;Arch Coal Inc;1ASP_ACI_*;Q4 2010 Arch Coal, Inc. Earnings Conference Call;ARCH COAL INC;
4210519;Arch Coal Inc;1ASP_ACI_*;Q3 2011 Arch Coal Inc Earnings Conference Call;ARCH COAL INC;
13276596;Arch Resources Inc;ARCH.N;Q2 2020 Arch Resources Inc Earnings Call;ARCH RESOURCES INC;
13436449;Arch Resources Inc;ARCH.N;Q3 2020 Arch Resources Inc Earnings Call;ARCH RESOURCES INC;
689061;Archer Daniels Midland Co;ADM;Q2 2003 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
753941;Archer Daniels Midland Co;ADM;Q4 2003 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
5183841;Archer Daniels Midland Co;ADM;Q3 2013 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
4911745;Archer Daniels Midland Co;ADM;Q2 2012.5 Archer Daniels Midland Company Earnings Conference Call;MIDLAND COMPANY;BAD
5187068;Archer Daniels Midland Co;ADM;Q1 2014 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
5290902;Archer Daniels Midland Co;ADM;Q3 2014 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
5187074;Archer Daniels Midland Co;ADM;Q2 2014 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
5187066;Archer Daniels Midland Co;ADM;Q4 2013 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
4911743;Archer Daniels Midland Co;ADM;Q1 2012.5 Transition Year Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1889963;Archer Daniels Midland Co;ADM;Q4 2008 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1995803;Archer Daniels Midland Co;ADM;Q1 2009 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1737983;Archer Daniels Midland Co;ADM;Q2 2008 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1809378;Archer Daniels Midland Co;ADM;Q3 2008 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1194263;Archer Daniels Midland Co;ADM;Q2 2006 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1350521;Archer Daniels Midland Co;ADM;Q4 2006 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1398980;Archer Daniels Midland Co;ADM;Q1 2007 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1573831;Archer Daniels Midland Co;ADM;Q4 2007 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1516124;Archer Daniels Midland Co;ADM;Q3 2007 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1449973;Archer Daniels Midland Co;ADM;Q2 2007 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1659162;Archer Daniels Midland Co;ADM;Q1 2008 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
2065135;Archer Daniels Midland Co;ADM;Q2 2009 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
2145623;Archer Daniels Midland Co;ADM;Q3 2009 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
2303680;Archer Daniels Midland Co;ADM;Q4 2009 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
2482042;Archer Daniels Midland Co;ADM;Q1 2010 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
2662675;Archer Daniels Midland Co;ADM;Q2 2010 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
2979708;Archer Daniels Midland Co;ADM;Q3 2010 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
3186213;Archer Daniels Midland Co;ADM;Q4 2010 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
3643514;Archer Daniels Midland Co;ADM;Q2 2011 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1146906;Archer Daniels Midland Co;ADM;Q1 2006 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
1051146;Archer Daniels Midland Co;ADM;Q3 2005 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
618522;Archer Daniels Midland Co;ADM;Q3 2002 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
645489;Archer Daniels Midland Co;ADM;Q4 2002 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
722133;Archer Daniels Midland Co;ADM;Q3 2003 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
825235;Archer Daniels Midland Co;ADM;Q4 2004 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
825233;Archer Daniels Midland Co;ADM;Q3 2004 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
825230;Archer Daniels Midland Co;ADM;Q2 2004 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
944164;Archer Daniels Midland Co;ADM;Q1 2005 Archer Daniels Midland Company Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
5545028;Archer Daniels Midland Co;ADM;Q1 2015 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5545054;Archer Daniels Midland Co;ADM;Q3 2015 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5545042;Archer Daniels Midland Co;ADM;Q2 2015 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5545020;Archer Daniels Midland Co;ADM;Q4 2014 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
4183208;Archer Daniels Midland Co;ADM;Q4 2012 Archer Daniels Midland Co Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
4183202;Archer Daniels Midland Co;ADM;Q2 2012 Archer Daniels Midland Co Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
4183205;Archer Daniels Midland Co;ADM;Q3 2012 Archer Daniels Midland Co Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
10686463;Archer Daniels Midland Co;ADM;Q2 2017 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
6771380;Archer Daniels Midland Co;ADM;Q4 2016 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
4183200;Archer Daniels Midland Co;ADM;Q1 2012 Archer Daniels Midland Co Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
3945271;Archer Daniels Midland Co;ADM;Q3 2011 Archer Daniels Midland Co Earnings Conference Call;ARCHER DANIELS MIDLAND CO;
5889348;Archer Daniels Midland Co;ADM;Q1 2016 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5889350;Archer Daniels Midland Co;ADM;Q2 2016 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5889352;Archer Daniels Midland Co;ADM;Q3 2016 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5889346;Archer Daniels Midland Co;ADM;Q4 2015 Archer Daniels Midland Co Earnings Call;ARCHER DANIELS MIDLAND CO;
5163308;Archer Ltd;ARCHER.OL;Q2 2013 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
5102832;Archer Ltd;ARCHER.OL;Q1 2013 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
5019710;Archer Ltd;ARCHER.OL;Full Year 2012 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
5372289;Archer Ltd;ARCHER.OL;Q1 2014 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
5442325;Archer Ltd;ARCHER.OL;Q2 2014 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
5301032;Archer Ltd;ARCHER.OL;Q4 2013 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
5505932;Archer Ltd;ARCHER.OL;Q3 2014 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
5768239;Archer Ltd;ARCHER.OL;Q2 2015 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
5690271;Archer Ltd;ARCHER.OL;Q1 2015 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
5621918;Archer Ltd;ARCHER.OL;Q4 2014 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
5841718;Archer Ltd;ARCHER.OL;Q3 2015 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
4895398;Archer Ltd;ARCHER.OL;Q2 2012 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
4745980;Archer Ltd;ARCHER.OL;Q4 2011 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
4962910;Archer Ltd;ARCHER.OL;Q3 2012 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
4829070;Archer Ltd;ARCHER.OL;Q1 2012 Archer Ltd Earnings Conference Call;ABITIBI POWER & PAPER LTD;BAD
10732510;Archer Ltd;ARCHER.OL;Q2 2017 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
12637051;Archer Ltd;ARCHER.OL;Q2 2019 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
12832406;Archer Ltd;ARCHER.OL;Q3 2019 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
12325837;Archer Ltd;ARCHER.OL;Full Year 2018 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
12505447;Archer Ltd;ARCHER.OL;Q1 2019 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
13013176;Archer Ltd;ARCHER.OL;Q4 2019 Archer Ltd Earnings Call;ABITIBI POWER & PAPER LTD;BAD
